~ # ./itlb_capacity | tee stage7_2_itlb_capacity.txt
PID                  : 55
spread mapping       : 0x3fbc400000
packed mapping       : 0x3fbc65d000
spread 2MiB aligned  : yes
stub size            : 16 B
max stubs            : 256
timed hops           : 65536
repeats/test         : 5
spread max I$ lines  : 256
spread I$ footprint  : 16 KiB
spread max lines/set : 4
packed footprint     : 4 KiB
counter mode         : independent perf events

 Nstubs | packed cyc/hop | spread cyc/hop | spread best | packed insn/hop | spread insn/hop | minflt | majflt
--------+----------------+----------------+-------------+-----------------+-----------------+--------+-------
      4 |           3.70 |           3.71 |        3.33 |            3.46 |            3.52 |      0 |      0
      8 |           3.33 |           3.32 |        3.32 |            3.25 |            3.25 |      0 |      0
     16 |           3.33 |           3.33 |        3.32 |            3.25 |            3.25 |      0 |      0
     24 |           3.37 |           3.35 |        3.33 |            3.25 |            3.25 |      0 |      0
     28 |           3.56 |           4.36 |        4.33 |            3.25 |            3.34 |      0 |      0
     30 |           3.56 |           4.34 |        4.33 |            3.25 |            3.34 |      0 |      0
     31 |           3.59 |           4.52 |        4.34 |            3.25 |            3.34 |      0 |      0
     32 |           3.62 |           4.40 |        4.34 |            3.25 |            3.34 |      0 |      0
     33 |           4.51 |          15.02 |       14.96 |            3.34 |            3.64 |      0 |      0
     34 |           4.49 |          15.01 |       14.97 |            3.35 |            3.64 |      0 |      0
     36 |           4.53 |          15.01 |       14.98 |            3.34 |            3.64 |      0 |      0
     40 |           4.53 |          14.99 |       14.98 |            3.35 |            3.64 |      0 |      0
     48 |           4.48 |          15.00 |       14.99 |            3.34 |            3.64 |      0 |      0
     64 |           4.44 |          14.99 |       14.97 |            3.27 |            3.64 |      0 |      0
     96 |           4.39 |          15.10 |       15.06 |            3.34 |            3.64 |      0 |      0
    128 |           4.42 |          15.09 |       15.08 |            3.34 |            3.64 |      0 |      0
    192 |           4.36 |          15.30 |       15.27 |            3.25 |            3.65 |      0 |      0
    256 |           4.49 |          15.52 |       15.48 |            3.25 |            3.64 |      0 |      0

global sink          : 0x0000000000000000

